link,kasus,pasal
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57c9a91a8ccafd5313431333235.html,Turut serta melakukan Penggelapan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57baed4b9ec9914313430363530.html,Pencurian Dengan Pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57ba5cef2549cfc313430363335.html,Penggelapan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57b0c04c14481ea313430323137.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57aa0bbddaa8ee1313335393137.html,secara bersama-sama melakukan Penggelapan Yang Dilakukan Oleh Orang Yang Menguasai Barang Itu Karena Ada Hubungan Pekerjaan yang dilakukan terus menerus sebagai perbuatan yang dilanjutkan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa579ec2e3c34b9a4313335343134.html,Penganiayaan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa579a0398a868bdc313335323036.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57992145828b7bc313335313433.html,menjual/memperdagangkan minuman beralkohol golongan A tanpa memiliki izin,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5797a8c9922865f313335313033.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5796c9e8348985b313335303430.html,Penipuan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5796a6a70789006313335303336.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5795c79860ca89d313335303133.html,Memukul Terhadap Anak,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5790c54f436abd3313334373538.html,Perbankan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa578e5e7f6e0a479313334363534.html,pencurian ringan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57899f444dcb250313334343436.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5786b7b988a8f20313334333238.html,Pencurian,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa577c94a2680bdef313333383536.html,Pencurian Berlanjut,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa577b328ab4ca154313333383139.html,Pencurian dalam keadaan yang memberatkan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa577927d7f62b042313333373234.html,dengan terang-terangan dan dengan tenaga bersama menggunakan kekerasan terhadap orang yang mengakibatkan luka berat,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa57790790a428dc2313333373231.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa59bd0f91eeebd18313735363531.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa59bc6968f4a97b3313735363334.html,Pelecehan Seksual,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5989e9e08d68160313733333538.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5989aabeeb4857f313733333532.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa596e65ac3e6af3d313732313430.html,Pemberi Fidusia yang mengalihkan Benda yang menjadi Objek Jaminan Fidusia kepada pihak lain tanpa persetujuan tertulis terlebih dahulu dari Penerima Fidusia,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5942b6f6b2ebd0c313730323037.html,Penggelapan karena ada hubungan kerja,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5942728e8e29c61313730323030.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5919f346f3abb2f313634333533.html,Penipuan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa59144a84f0092c7313634313231.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5908e4b54829657313633363135.html,Percobaan melakukan Pencurian dengan kekerasan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58e710db560a1aa313632313037.html,Penggelapan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58e5ad65752b5d4313632303239.html,membujuk Anak melakukan persetubuhan dengannya,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58dfc2fe5249a5d313631373531.html,Tanpa izin dengan sengaja memberi kesempatan kepada khalayak umum untuk melakukan permainan judi,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58df5db3b2eaead313631373430.html,tanpa izin ikut serta main judi ditempat yang dapat dikunjungi oleh umum,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58c6ebcf5dea3d4313630363434.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5891b9e9c16a51c313534323536.html,Pencurian dalam keadaan memberatkan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa588c8332312bab7313534303336.html,Pencurian dengan pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa588af44d21a8629313533393534.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa588ab64da5aabf0313533393438.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58888dfe25498ec313533383530.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5882edd1a92be72313533363139.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa587d3a87fc2ba4c313533333436.html,Dengan tipu muslihat atau dengan penyesatan menggerakkan orang untuk melakukan atau membiarkan di lakukan persetubuhan atau perbuatan cabul dengannya,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa587c1ae50da8adc313533333136.html,Pencurian,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa587b6895a609883313533323537.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5879a31a1d8b744313533323039.html,pencurian dengan pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5878bf56032a2d0313533313435.html,turut serta melakukan Penipuan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58750291d8cb1c5313533303035.html,Pembunuhan,
