BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,BAB I,Pasal 1,"(1)  Suatu perbuatan tidak dapat dipidana, kecuali berdasarkan kekuatan ketentuan perundang-undangan pidana yang telah ada (2)  Bilamana ada perubahan dalam perundang-undangan sesudah perbuatan dilakukan, maka terhadap terdakwa diterapkan ketentuan yang paling menguntungkannya.",tidak-diketahui
,BAB I,Pasal 2,Ketentuan pidana dalam perundang-undang an dangan Indonesia diterapkan bagi setiap orang yang melakukan sesuatu tindak pidana di Indonesia.,tidak-diketahui
,BAB I,Pasal 3,Ketentuan pidana dalam perundang-undangan Indonesia berlaku bagi setiap orang yang di luar wilayah Indonesia melakukan tindak pidana di dalam kendaraan air atau pesawat udara Indonesia.,pelanggaran lalu lintas
,BAB I,Pasal 4,"Ketentuan pidana dalam perundang-undang an Indonesia diterapkan bagi setiap orang yang melakukan di luar Indonesia: 1. salah satu kejahatan berdasar kan pasal-pasal 104, 106, 107,108,dan 131 2. suatu kejahatan mengenai mata uang atau uang kertas yang dikeluarkan oleh negara atau bank, ataupun meng enai meterai yang dikeluarkan dan merek yang digunakan oleh Pemerintah Indonesia. 3.  pemalsuan surat hutang atau sertifikat hutang atas tanggungan Indonesia, atas tanggungan suatu daerah atau bagi an daerah Indonesia, termasuk pula pemalsuan talon, tanda dividen atau tanda bunga, yang mengikuti surat atau sertifikat itu, dan tanda yang dikeluarkan sebagai pengganti surat tersebut, atau menggunakan surat-surat tersebut di atas, yang palsu atau dipalsukan, seolah-olah asli dan tidak dipalsu; 4.  salah satu kejahatan yang tersebut dalam pasal-pasal 438, 444 sampai dengan 446 tentang pembajakan laut dan pasal 447 tentang penyerahan kendaraan air kepada kekuasaan baja k laut dan pasal 479 huruf j tentang penguasaan pesawat udara secara melawan hukum, pasal 479 huruf I, m, n, dan o tentang kejahatan yang mengancam keselamatan penerbangan sipil.",pemalsuan
,BAB I,Pasal 5,"(1)  Ketentuan pidana dalam perundang-undangan Indonesia diterspksn bsgi warga negara yang di luar Indonesia melakukan: Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  1.  salah satu kejahatan tersebut dalam Bab I dan II Buku Kedua dan pasal-pasal 160, 161, 240, 279, 450, dan 451. 2. salah satu perbuatan yang oleh suatu ketentuan pidana dalam perundang-undangan Indonesia dipandang sebagai kejahatan, sedangkan menurut perundang-undangan negara dimana perbuatan dilakukan diancam dengan pidana. (2)  Penuntutan perkara sebagaimana dimaksud dalam butir 2 dapat dilakukan juga jika tertuduh menjadi warga negara sesudah melakukan perbuatan.",tidak-diketahui
,BAB I,Pasal 6,"Berlakunya pasal 5 ayat 1 butir 2 dibatasi sedemikian rupa sehingga tidak dijatuhkan pidana mati, jika menurut perundang-undangan negara dimana perbuatan dilakukan, terhadapnya tidak diancamkan pidana mati.",tidak-diketahui
,BAB I,Pasal 7,Ketentuan pidana dalam perundang-undangan Indonesia berlaku bagi setiap pejabat yang di luar Indonesia melakukan salah satu tindak pidana sebagaimana dimaksud dalam bab XXVIII Buku Kedu,tidak-diketahui
,BAB I,Pasal 8,"Ketentuan pidana dalam perundang-undangan Indonesia berlaku bagi nahkoda dan penumpang perahu Indonesia, yang di luar Indonesia, sekalipun di luar perahu, melakukan salah satu tindak pidana sebagaimana dimaksud dalam Bab XXIX Buku Kedua, dan BAb IX Buku keti ga; begitu pula yang tersebut dalam peraturan mengenai surat laut dan pas kapal di Indonesia, maupun dalam Ordonansi Perkapalan.",tidak-diketahui
,BAB II,Pasal 9,"Diterapkannya pasal-pasal 2-5, 7, dan 8 dibatasi oleh pengecualian- pengecualian yang diakui dalam hukum internasional.   PIDANA",tidak-diketahui
,BAB II,Pasal 10,Pidana terdirl atas: a. pidana pokok: 1. pidana mati; 2. pidana penjara; 3. pidanakurungan; 4. pidanadenda; 5.  pidana tutupan. b.  pidana tambahan 1. pencabutan hak-hak tertentu; 2. perampasan barang-barang tertentu; Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  3.  pengumuman putusan hakim.,pelanggaran perlindungan anak
,BAB II,Pasal 11,Pidana mati dijalankan oleh algojo di tempat gantungan dengan menjeratkan tali yang terikat di tiang gantungan pada leher terpidana kemudian menjatuhkan papan tempat terpidana berdiri.,tidak-diketahui
,BAB II,Pasal 12,"(1)  Pidana penjara ialah seumur hidup atau selama waktu tertentu. (2)  Pidana penjara selama waktu tertentu paling pendek satu hari dan paling lama lima belas tahun berturut-turut. (3)  Pidana penjara selama waktu tertentu boleh dijatuhkan untuk dua puluh tahun berturut-turut dalam hal keja hatan yang pidananya hakim boleh memilih antara pidana mati, pidana seumur hidup, dan pidana penjara selama waktu tertentu, atau antara pidana penjara seumur hidup dan pidana penjara selama waktu tertentu; begitu juga dalam hal batas lima belas tahun dilampaui sebab tambahanan pidana karena perbarengan, pengulangan atau karena ditentukan pasal 52. (4)  Pidana penjara selama waktu tertentu sekali-kali tidak boleh melebihi dua puluh tahun.",tidak-diketahui
,BAB II,Pasal 13,Para terpidana dijatuhi pidana penjar a dibagi-bagi atas beberapa golongan,tidak-diketahui
,BAB II,Pasal 14,Terpidana yang dijatuhkan pidana penj ara wajib menjalankan segala pekerjaan yang dibebankan kepadanya berdasarkan ketentuan pelaksanaan pasal 29.,tidak-diketahui
,BAB II,Pasal 14a,"(1)  Apabila hakim menjatuhkan pidana paling lama satu tahun atau pidana kurungan, tidak termasuk pidana kurungan pengganti maka dalam putusnya hakim dapat memerintahkan pula bahwa pidana tidak usah dijalani, kecuali jika dikemudianhari ada putusan hakim yang menentukan lain, disebabkan karena si terpidana melakukan suatu tindak pidana sebelum masa percobaan yang ditentukan dalam perintah tersebut diatas habis, atau karena si terpidana selama masa percobaan tidak memenuhi syarat khusus yang mungkin ditent ukan lain dalam perintah itu.  (2)  Hakim juga mempunyai kewenangan seperti di atas, kecuali dalam perkara-perkara yang mangenai pengha silan dan persewaan negara apabila menjatuhkan pidana denda, tetapi harus ternyata kepadanya bahwa pidana denda atau perampasan yang mungkin diperintahkan pula akan sangat memberatkan si terpidana. Dalam menerapkan ayat ini, kejahatan dan pelanggaran candu hanya dianggap sebagai perkara mengenai Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  penghasilan negara, jika terhadap kejahatan dan pelanggaran itu ditentukan bahwa dalam hal dijatuhkan pidana denda, tidak diterapkan ketentuan pasal 30 ayat 2. (3)  Jika hakim tidak menentukan lain, maka perintah mengenai pidana pokok juga mengenai pidana pokok ju ga mengenai pidana tambahan.  (4)  Perintah tidak diberikan, kecuali hakim setelah menyelidiki dengan cermat berkeyakinan bahwa dapat diadakan pengawasan yang cukup untuk dipenuhinya syarat umum, bahwa terpidana tidak akan melakukan tindak pidana, dan syarat-syarat khusus jika sekiranya ditetapkan.  (5)  Perintah tersebut dalam ayat 1 harus disertai hal-hal atau keadaan- keadaan yang menjadi alasan perintah itu.",tidak-diketahui
,BAB II,Pasal 14b,"(1)  Masa percobaan bagi kejahatan dan pelanggaran dalam pasal-pasal 492, 504, 505, 506, dan 536 paling lama ti ga tahun dan bagi pelanggaran lainnya paling lama dua tahun.  (2)  Masa percobaan dimulai pada saat putusan telah menjadi tetap dan telah diberitahukan kepada terpidana menurut cara yang ditentukan dalam undang-undang.  (3)  Masa percobaan tidak dihitung selama terpidana ditahan secara sah.",tidak-diketahui
,BAB II,Pasal 14c,"(1)  Dengan perintah yang dimaksud pasal 14a, kecuali jika dijatuhkan pidana denda, selain menetapkan syarat umum bahwa terpidana tidak akan melakukan tindak pidana, hakim dapat menetapkan syarat khusus bahwa terpidana tindak pidana , hakim dapat menerapkan syarat khusus bahwa terpidana dalam waktu tertentu, yang lebih pendek daripada masa percobaannya, harus mengganti segala atau sebagian kerugian yang ditimbulkan oleh tindak pidana tadi. (2)  Apabila hakim menjatuhkan pidana pe njara lebih dari tiga bulan atau pidana kurungan atas salah satu pe langgaran berdasarkan pasal-pasal 492, 504, 505, 506, dan 536, maka boleh diterapkan syarat-syarat khusus lainnya mengenai tingkah laku terpidana yang harus dipenuhi selama masa percobaan atau selama seba gian dari masa percobaan. (3)  Syarat-syarat tersebut di atas tidak boleh mengurangi kemerdekaan beragama atau kemerdekaan berpolitik terpidana.",tidak-diketahui
,BAB II,Pasal 14d,"(1)  Yang diserahi mengawasi supaya syarat-syarat dipenuhi, ialah pejabat yang berwenang menyuruh menjalankan putusan, jika kemidian ada perintah untuk menjalankan putusan. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2)  Jika ada alasan, hakim dapat perintah boleh mewajibkan lembaga yang berbentuk badan hukum dan berkedudukan di Indonesia, atau kepada pemimpin suatu rumah penampungan ya ng berkedudukan di situ, atau kepada pejabat tertentu, supaya memberi pertolongan atau bantuan kepada terpidana dalam memenuhi syarat-syarat khusus. (3)  Aturan-aturan lebih lanjut mengenai pengawasan dan bantuan tadi serta mengenai penunjukan lembaga dan pemimpin rumah penampungan yang dapat diserahi dengan bantuan itu, diatur dengan undang-undang.",pelanggaran properti
,BAB II,Pasal 14e,"Atas usul pejabat dalam pasal ayat 1, atau atas permintaan terpidana, hakim yang memutus perkara dalam tingkat pertama, selama masa percobaan, dapat mengubah syarat-syarat khusus dala m masa percobaan. Hakim juga boleh memerintahkan orang lain daripada orang yang diperintahkan semula, supaya memberi bantuan kepada terpidana dan juga boleh memperpanjang masa percobaan satu kali, paling banyak dengan separuh dari waktu yang paling lama dapat diterapkan untuk masa percobaan.",tidak-diketahui
,BAB II,Pasal 14f,"(1)  Tanpa mengurangi ketentuan pasal diat as, maka ats usul pejabat tersebut dalam pasal 14d ayat 1, hakim yang memutus perkara dalam tingkat pertama dapat memerintahkan supaya pidananya dijalankan, atau memerintahkan supaya atas namanya diberi peringatan pada terpidana, yaitu jika terpidana selama masa percobaan melakukan tindak pidana dan karenanya ada pemidanaan yang menjadi tetap, atau jika salah satu syarat lainnya tidak dipenuhi, atau pun jika terpidana sebelum masa percobaan habis dijatuhi pemidanaan yang menjadi tetap, karena melakukan tindak pidana selama masa percobaan mulai berlaku. Ketika memberi peringatan, hakim harus menentukan juga cara bagaimana memberika peringatan itu. (2)  Setelah masa percobaan habis, perintah supaya pidana dijalankan tidak dapat diberikan lagi, kecuali jika sebelum masa percobaan habis, terpidana dituntut karena melakukan tindak pidana di dalam masa percobaan dan penuntutan itu kemudian berakhir dengan pemidanan yang memnjadi tetap. Dalam hal itu, dalam waktu dua bulan setelah pemidanaan menjadi tetap, hakim masih boleh memerintahkan supaya pidananya dijalankan, karena melakukan tindak pidana tadi.",tidak-diketahui
,BAB II,Pasal 15,"(1)  Jika terpidana telah menjalani dua pertiga dari lamanya pidana penjara yang dijatuhkan kepadanya, sekurang-kurangnya harus sembilan bulan, maka ia dapat dikenakan pelepasan bersyarat. Jika terpidana harus menjalani beberapa pidana berturut-t urut, pidana itu dianggap sebagai satu pidana. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2)  Ketika memberikan pelepasan bersyarat, ditentukan pula suatu masa percobaan, serta ditetapkan syarat-syarat yang harus dipenuhi selama masa percobaan. (3)  Masa percobaan itu lamanya sama dengan sisa waktu pidana penjara yang belum dijalani, ditambah satu tahun. Jika terpidana ada dalam tahanan yang sah, maka waktu itu tidak termasuk masa percobaan.",tidak-diketahui
,BAB II,Pasal 15a,"(1)  Pelepasan bersyarat diberikan dengan syarat umum bahwa terpidana tidak akan melakukan tindak pidana dan perbuatan lain yang tidak baik.] (2)  Selain itu, juga boleh ditambahkan syarat-syarat khusus mengenai kelakuan terpidana, asal saja tida k mengurangi kemerdekaan beragama dan kemerdekaan berpolitik. (3)  Yang diserahi mengawasi supaya segala syarat dipenuhi ialah pejabat tersebut dalam pasal 14d ayat 1. (4)  Agar supaya syarat-syarat dipenuhi, dapat diadakan pengawasan khusus yang semata-mata harus bertujuan memberi bantuan kepada terpidana. (5)  Selama masa percobaan, syarat-syarat dapat diubah atau di hapus atau dapat diadakan syarat-syarat khusus baru; begitu juga dapat diadakan pengawasan khusus. Pengawasan khusus itu dapat diserahkan kepada orang lain daripada orang yang semula diserahi. (6)  Orang yang mendapat pelepasan bersyarat diberi surat pas yang memuat syarat-syarat yang harus dipenuhinya. Jika hal-hal yang tersebut dalam ayat di atas dijalankan, maka orang itu diberi surat pas baru.",tidak-diketahui
,BAB II,Pasal 15b,"(1)  Jika orang yang diberi pelepasan bersyarat selama masa percobaan melakukan hal-hal yang melanggar syarat-syarat tersebut dalam surat pasnya, maka pelepasan bersyarat dapat dicabut. Jika ada sangkaan keras bahwa hal-hal di atas dilakukan, Menteri Kehakiman dapat menghentikan pelepasan bersyarat tersebut untuk sementara waktu. (2)  Waktu selama terpidasna dilepaskan bersyarat sampai menjalani pidana lagi, tidak termasuk waktu pidananya. (3)  Jika tiga bulan setelah masa percobaan habis, pelepasan bersyarat tidak dapat dicabut kembali, kecuali jika sebelum waktu tiga bulan lewat, terpidana dituntut karena melakukan tindak pidana pada masa percobaan, dan tuntutan berakhir dengan putusan pidana yang menjadi tetap. Pelepasan bersyarat masih dapat dicabut dalam waktu tiga bulan bersyarat masih dapat dicabut dalam waktu tiga bulan setelah putusan menjadi tetap berdasarkan pertimbangan bahwa terpidana melakukan tindak pidana selama masa percobaan.",tidak-diketahui
,BAB II,Pasal 16,"(1)  Ketentuan pelepasan bersyarat ditetapkan oleh Menteri Kehakiman atas usul atau setelah mendapat kabar dari pengurus penjara tempat Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  terpidana, dan setelah mendapat ke terangan dari jaksa tempat asal terpidana. Sebelum menentukan, harus ditanya dahulu pendapat Dewan Reklasering Pusat, yang tugasnya diatur oleh Menteri Kehakiman. (2)  Ketentuan mencabut pelepasan bersyarat, begitu juga hal-hal yang tersebut dalam pasal 15a ayat 5, dite tapkan oleh Menteri Kehakiman atas usul atau setelah mendapat kabar da ri jaksa tempat asal terpidana. Sebelum memutus, harus ditanya dahulu pendapat Dewan Reklasering  Pusat. (3)  Selama pelepasan masih dapat dicabut, maka atas perintah jaksa tempat dimana dia berada, orang yang dilapaskan bersyarat orang yang dilepaskan bersyarat dapat ditahan guna menjaga ketertiban umum, jika ada sangkaan yang beralasan bahwa orang itu selama masa percobaan telah berbuat hal-hal yang melanggar syarat-syarat tersebut dalam surat pasnya. Jaksa harus segera memberitahukan penahanan itu kepada Menteri Kehakiman. (4)  Waktu penahanan paling lama enam puluh ahri. Jika penahanan disusul dengan penghentian untuk sementara waktu atau pencabutan pelepasan bersyarat, maka orang itu dianggap meneruskan menjalani pidananya mulai dari tahanan.",tidak-diketahui
,BAB II,Pasal 17,"Contoh surat pas dan peraturan pelaksanaan pasal-pasal 15, 15a, dan 16 diatur dengan undang-undang.",tidak-diketahui
